tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
짬뽕에취한날,제주시 > 제주시내,#냉짬뽕 #중식 #음식 #갈비짬뽕 #짜장면 #탕수육 #깐풍육,4,0,28,3
청호식당,서귀포시 > 성산,#갈치구이 #고등어조림 #음식 #라면 #고등어구이 #갈치조림 #해물라면 #문어볶음 #해산물 #해산물모둠 #전복죽 #뚝배기 #해물뚝배기 #전복해물뚝배기 #성게미역국 #해삼 #뿔소라 #전복회 #전복 #해삼회 #소라회 #문어숙회 #회,5,0,19,3
초밥군커피씨,제주시 > 제주시내,#일식 #음식 #스시 #2022고메페스타 #광어초밥 #생선초밥 #카페라떼 #카라멜마끼아또 #카푸치노 #핫초코,4,3,20,3
카페동백,제주시 > 조천,#케이크 #브런치 #음식 #동백 #아메리카노 #카페라떼 #바닐라라떼 #카푸치노 #디저트 #티라미수 #에스프레소 #차 #레몬차 #레몬에이드 #자몽주스 #주스 #치즈케이크,4,2,47,3
카페오름,서귀포시 > 성산,#흑돼지돈가스 #양식 #illy커피 #음식 #피쉬&칩스 #새우크림파스타 #베이컨까르보나라 #까르보나라 #크림파스타 #토마토파스타 #쉬림프토마토파스타 #생선까스 #새우튀김 #돈까스 #돈가스 #마파두부 #왕새우튀김 #아메리카노 #캐모마일 #얼그레이 #페퍼민트 #에이드 #자몽에이드 #청포도에이드 #모히또 #파스타 #해산물크림파스타 #해산물토마토파스타,4,0,27,3
카페제주동네,제주시 > 구좌,#음식 #눈꽃빙수 #디저트 #과일주스 #주스 #팥빙수 #케이크 #콜드브루 #아메리카노 #카페라떼 #핸드드립커피 #드립커피 #핸드드립콜롬비아슈프리모 #핸드드립과테말라 #핸드드립에티오피아예가체프 #핸드드립케냐 #말차라떼 #초코라떼 #차 #에이드 #초코케이크,4,0,9,3
토끼와거북이,제주시 > 제주시내,#돔베고기 #보말국 #한식 #음식 #제주갈치조림 #전복죽 #전복뚝배기 #전복물회 #한치물회 #한치 #2022고메페스타,5,2,18,3
티나케이크,서귀포시 > 서귀포시내,#음식 #치즈케이크 #바나나팬케이크 #생크림케익 #크림치즈 #드립커피 #비엔나커피 #차 #페퍼민트 #자스민티 #녹차 #초코케이크 #치즈타르트,5,2,14,3
하얀산호식당,섬 속의 섬 > 우도,#음식 #매운탕 #우럭매운탕 #성게미역국 #우도 #지리탕 #우럭지리탕 #우럭조림 #고등어조림 #갈치조림 #갈치구이 #고등어구이 #문어숙회 #돌문어숙회 #회 #소라회 #광어회 #우럭회 #뚝배기 #전복해물뚝배기 #전복죽 #참돔회 #우럭구이 #전복비빔밥 #회비빔밥,4,0,3,3
하우스레서피,제주시 > 한림,#음식 #아메리카노 #카페라떼 #디저트 #빵 #케이크 #머핀 #차 #루이보스 #주스,4,0,10,3
한라식당,서귀포시 > 표선,#옥돔구이 #흑돼지 #불고기 #흑돼지구이 #돼지구이 #2022고메페스타,4,0,24,3
현옥식당,제주시 > 제주시내,#김치찌개 #된장찌개 #갈치조림 #동태찌개 #삼겹살 #한치물회 #한치 #착한가격업소,4,0,66,3
흑소랑,제주시 > 제주시내,#음식 #육회 #한우구이 #된장찌개 #2022고메페스타 #럭셔리트래블인제주 #꽃등심 #부채살 #살치살 #갈비살 #안심 #안창살 #차돌된장찌개 #국밥 #설렁탕 #도가니탕 #곰탕 #냉면 #비빔냉면 #물냉면 #버섯불고기 #전골 #술 #와인 #레드와인 #화이트와인,3,3,14,3
2093하우스,제주시 > 조천,#음식 #수제돈까스 #메밀 #칼국수 #성게미역국 #육개장 #성게비빔밥 #왕만두 #정식 #돈가스 #돈까스 #막국수 #메밀물막국수 #메밀비빔막국수 #비빔막국수 #메밀막국수 #메밀왕만두 #보말칼국수 #메밀칼국수 #비빔밥 #아메리카노 #에이드 #레몬에이드 #자몽에이드,4,2,28,2
jival 지발,제주시 > 애월,#음식 #함박스테이크 #해물파스타 #새우볶음밥 #짬뽕 #볶음밥 #베이컨볶음밥 #돈가스 #수제돈까스 #스테이크 #햄버거스테이크 #까르보나라 #새우크림파스타 #새우로제파스타 #베이컨토마토파스타 #매콤베이컨파스타 #해산물파스타 #해산물토마토파스타 #짬뽕파스타 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #레몬에이드 #에이드 #자몽에이드 #망고스무디 #와인,4,1,6,2
kim여사의밥상,서귀포시 > 대정,#음식 #수제돈까스 #해물라면 #짬뽕 #라면 #순두부찌개 #해물짬뽕라면 #돈가스,5,0,7,2
가시식당,서귀포시 > 표선,#두루치기 #몸국 #향토음식 #한식 #음식 #돔베고기,5,2,71,2
간이옥돔역,서귀포시 > 남원,#토스트 #주스 #음식 #아메리카노 #카페라떼 #카페모카 #바닐라라떼 #녹차라떼 #딸기라떼 #헤이즐넛라떼 #스무디 #블루베리스무디 #애플망고스무디 #카라멜마끼아또 #에스프레소 #에스프레소콘파냐 #라떼 #고구마라떼 #오렌지루이보스 #캐모마일 #패션후르츠에이드 #모히또 #아이스티 #복숭아아이스티 #핫초코 #아이스초코 #차 #청귤차 #에이드 #프렌치토스트 #그라탕 #감바스알아히요,5,0,16,2
골막식당,제주시 > 제주시내,#음식 #흑돼지 #콩국수,5,2,52,2
교래흑돼지,제주시 > 조천,#냉면 #음식 #흑돼지 #흑돼지구이 #오겹살 #목살 #김치찌개 #된장찌개 #흑돼지김치찌개 #뚝배기 #된장뚝배기 #물냉면 #비빔냉면,4,1,29,2
국수장터,제주시 > 제주시내,#고기국수 #음식 #멸치국수 #국밥 #몸국 #열무국수 #냉국수 #콩국수 #따로국밥 #육개장 #물만두 #머리고기 #순대 #돔베고기 #순대국 #착한가격업소,4,0,17,2
국시트멍,제주시 > 제주시내,#음식 #고기국수 #비빔국수 #돔베고기 #만두 #멸치국수 #멸치고기국수 #비빔고기국수 #물만두 #냉국수,4,0,9,2
그러므로,제주시 > 제주시내,#음식 #핸드드립커피 #커피 #아메리카노 #아이스크림 #카푸치노 #카페라떼 #에스프레소 #드립커피 #진저라떼 #마끼아또 #플랫화이트 #바닐라라떼 #카페모카 #아포가토 #차 #라떼 #레몬차 #녹차 #홍차 #허브티 #생강차 #레몬에이드 #에이드,5,0,8,2
깡촌흑돼지,제주시 > 조천,#음식 #흑돼지구이 #돼지구이 #오겹살 #항정살 #삼겹살 #근고기 #목살 #흑돼지오겹살 #가브리살 #돼지껍데기 #양념돼지껍데기 #흑돼지김치찌개 #국수,5,1,19,2
나원회포차,서귀포시 > 서귀포시내,#음식 #고등어회 #방어회 #광어회 #한치회 #한치 #방어 #모둠회 #해산물 #해산물모둠 #참돔회 #우럭회 #활어회 #딱새우 #옥돔구이 #고등어구이,5,1,8,2
난드르깡통구이,서귀포시 > 안덕,#음식 #흑돼지구이 #김치찌개 #제주백돼지 #근고기 #항정살 #갈매기살 #가브리살 #냉면 #비빔냉면 #물냉면 #오겹살 #흑돼지오겹살 #목살,4,1,15,2
남또리,제주시 > 애월,#초밥 #일식 #음식 #다금바리 #회 #해산물 #갈치 #갈치구이 #갈치조림 #갈치회,4,0,5,2
다래향,제주시 > 조천,#차돌짬뽕 #음식 #해물짬뽕 #짜장면 #탕수육,4,0,12,2
다육이풍경,서귀포시 > 서귀포시내,#다육이주스 #주스 #음식 #비빔밥 #수제비 #보말 #과일주스 #아메리카노 #요거트 #카푸치노 #야채비빔밥 #쫄면 #누룽지탕 #해물전 #쉐이크 #차 #유자차 #자몽차 #레몬차 #유자에이드 #자몽에이드 #레몬에이드 #커피 #에스프레소 #카페라떼 #모카라떼 #카라멜마끼아또 #고구마라떼 #생강라떼 #녹차라떼 #초코라떼 #키위주스 #딸기라떼 #아포가토,5,2,7,2
달사막,제주시 > 조천,#칵테일 #음식 #감바스 #돈까스 #떡볶이 #돈가스 #감바스알아히요 #국물떡볶이 #프렌치프라이 #술국 #먹태 #먹태구이 #오징어버터구이 #육포 #술 #수제맥주 #생맥주 #위스키 #앱솔루트보드카 #레드와인 #화이트와인 #스파클링 #진토닉칵테일 #아메리카노,4,0,4,2
달자카페,제주시 > 애월,#음식 #아메리카노 #카페라떼 #에스프레소 #바닐라라떼 #카푸치노 #카페모카 #아포가토 #연유라떼 #카라멜마끼아또 #더치커피 #라떼 #초코라떼 #녹차라떼 #고구마라떼 #차 #페퍼민트 #캐모마일 #얼그레이 #아이스티 #레몬생강차 #레몬차 #매실차 #자몽차 #요거트스무디 #딸기요거트스무디 #블루베리요거트스무디 #에이드 #레몬에이드 #자몽에이드 #생과일주스 #허니브레드 #바게트 #샌드위치 #단팥죽 #아이스크림 #초코아이스크림 #바닐라아이스크림,5,1,13,2
대박국수,제주시 > 제주시내,#김치전 #음식 #멸치국수 #돔베고기 #해물파전 #칼국수 #멸치고기국수 #몸국 #물만두 #검은콩국수 #비빔국수,5,0,4,2
더클리프,서귀포시 > 중문,#버거 #피자 #커피 #중문관광단지맛집 #음식 #아메리카노 #카페라떼 #바닐라라떼 #카라멜마끼아또 #아인슈페너 #카페모카 #카푸치노 #콜드브루 #에이드 #청포도에이드 #패션후르츠에이드 #초코라떼 #말차라떼 #딸기라떼 #밤라떼 #캐모마일 #페퍼민트 #자몽차 #차 #라떼 #샐러드 #바베큐폭립 #고르곤졸라피자 #페퍼로니피자 #마르게리따피자 #감자튀김 #치킨 #롱소세지 #햄버거 #통새우버거 #파스타,5,0,14,2
덕성원,서귀포시 > 서귀포시내,#중식 #음식 #볶음밥 #2022고메페스타 #탕수버섯 #가지볶음 #청경채볶음 #만두 #야끼만두 #물만두 #소고기볶음밥 #새우볶음밥 #짬뽕밥 #삼선짬뽕밥 #고추짬뽕밥 #잡채밥 #탕수육밥 #유산슬밥 #잡탕밥 #냉짬뽕 #냉우동 #콩국수 #중국식냉면 #굴짬뽕 #굴짬뽕밥 #짜장면 #삼선간짜장 #사천짜장 #짬뽕 #삼선울면 #삼선우동 #고추짬뽕 #쟁반짜장 #잡채 #라조기 #고추잡채 #팔보채 #유산슬 #소고기탕수육 #삼선누룽지탕 #깐풍기 #해삼탕 #술 #중국술 #고량주 #죽엽청주,5,2,53,2
도나토스,제주시 > 한림,#수제맥주 #음식 #치킨샐러드 #고르곤졸라화덕피자 #와인 #2022고메페스타 #피자 #꽈뜨로포르마지피자 #디아볼라피자 #풍기피자 #고르곤졸라피자 #페퍼로니피자 #마르게리따피자 #시저샐러드,3,0,4,2
도다모,제주시 > 제주시내,#리조또 #음식 #회덮밥 #리코타치즈샐러드 #샐러드 #치킨샐러드 #안심샐러드 #연어샐러드 #버섯크림파스타 #토마토파스타 #베이컨크림파스타 #덮밥 #안심스테이크 #등심스테이크 #초밥 #모듬초밥 #아메리카노 #알리오올리오파스타 #오븐파스타 #크림파스타 #새우로제파스타 #토마토소스리조또 #돈까스 #돈가스 #피자 #고르곤졸라피자 #해산물피자 #찹스테이크 #술 #와인 #레드와인,4,1,8,2
도두반점,제주시 > 제주시내,#탕수육 #음식 #짬뽕 #고기짬뽕 #볶음밥 #새우볶음밥 #짬뽕밥 #군만두 #동파육 #술 #연태고량주 #중국술,4,1,7,2
도희네칼국수,서귀포시 > 안덕,#한식 #음식 #닭칼국수 #닭개장칼국수 #성게비빔밥 #초계국수 #닭곰탕 #메밀전 #매생이,5,0,12,2
돈이랑,서귀포시 > 중문,#음식 #흑돼지구이 #해물라면 #라면 #칼국수 #안전여행스탬프 #근고기 #김치말이국수 #냉면 #물냉면 #비빔냉면 #전복라면 #된장찌개 #전복된장뚝배기 #뚝배기 #누룽지 #제주백돼지 #전복해물라면 #비빔밥,4,1,17,2
등경돌식당,서귀포시 > 성산,#한식 #음식 #오분작뚝배기 #갈치구이 #갈치조림 #제주갈치조림 #옥돔구이 #고등어구이 #뚝배기 #해물뚝배기 #전복뚝배기 #성게미역국 #전복죽 #미역국,5,0,9,2
떡하니,제주시 > 구좌,#음식 #떡 #떡볶이 #매운떡볶이 #해물떡볶이 #야끼만두 #김말이튀김 #계란튀김 #치즈볶음밥 #주먹밥,4,0,15,2
마로니에 미니골프카페,서귀포시 > 남원,#카페 #음식 #포토스팟 #수제돈까스 #아메리카노 #바닐라라떼 #카페라떼 #레몬에이드 #식당 #에스프레소 #카푸치노 #카페모카 #카라멜마끼아또 #아포가토 #라떼 #초코라떼 #말차라떼 #에이드 #케이크 #브라우니 #눈꽃빙수,5,4,10,2
마린보이횟집,제주시 > 제주시내,#음식 #회 #해산물 #조기조림 #갈치조림 #우럭조림 #고등어조림 #물회 #한치물회 #전복물회 #모듬물회 #자리물회 #전복죽 #매운탕 #지리탕 #고등어구이 #옥돔구이 #갈치구이 #조기구이 #갈치회 #고등어회 #우럭회 #해물탕 #모둠회,5,0,10,2
만원의행복,제주시 > 제주시내,#지리 #구이 #음식 #해산물 #2022고메페스타 #모둠회 #생선찜 #꽃게찜 #튀김 #알밥 #생선까스 #지리탕 #물회 #회덮밥 #생선구이,5,0,11,2
명품한라봉아이스크림,서귀포시 > 성산,#음식 #소프트아이스크림,5,0,24,2
모디카,제주시 > 한림,#음식 #라자냐 #리조또 #치킨리조또 #샐러드 #2022고메페스타 #스프 #호박수프 #가리비구이 #새우구이 #토마토치즈파스타 #양갈비 #아보카도샐러드 #스테이크 #안심스테이크 #새우튀김 #아메리카노 #카푸치노 #카페라떼 #홍차,5,0,8,2
문화통닭,서귀포시 > 성산,#간장날개 #음식 #닭강정 #닭똥집튀김 #반반치킨 #간장치킨 #마늘치킨 #옛날통닭,5,1,16,2
미송식탁,제주시 > 제주시내,#음식 #김치찌개 #돼지김치찌개 #참치찌개 #두루치기 #매운돼지찌개 #오징어볶음 #불고기 #바싹불고기 #돼지고기볶음 #만두,5,0,4,2
바다위에코끼리,제주시 > 한림,#음식 #레몬에이드 #에이드 #망고에이드 #자몽에이드 #스무디 #아메리카노 #카페라떼 #바닐라라떼 #크림라떼 #초코라떼 #말차라떼 #라떼 #차 #유자차 #밀크티 #아이스티 #복숭아아이스티 #블랙티 #루이보스 #패션후르츠에이드 #케이크,5,1,19,2
보목해녀의집,서귀포시 > 서귀포시내,#일식 #음식 #물회 #한치물회 #한치회 #회덮밥 #매운탕 #한치 #회 #생선조림,4,0,12,2
복댕이,서귀포시 > 성산,#음식 #목살 #오겹살 #김치찌개 #된장찌개 #칼국수 #흑돼지오겹살 #대하 #대하구이 #왕새우 #근고기 #항정살 #가브리살 #갈매기살 #흑돼지김치찌개 #해물된장찌개 #비빔칼국수 #묵사발,4,0,8,2
봉you,서귀포시 > 안덕,#음식 #돈가스 #흑돼지 #등심돈까스 #안심돈까스 #치즈돈까스 #탕수육 #짬뽕 #불짬뽕 #짜장면 #감자튀김 #해물짬뽕 #고기짬뽕,4,1,12,2
삼성혈해물탕,제주시 > 제주시내,#전복회 #산낙지 #음식 #전복해물탕 #전복죽 #문어숙회 #옥돔구이 #고등어구이,4,0,7,2
삼일식당,제주시 > 한림,#한식 #음식 #소고기해장국,5,0,12,2
선미식당,서귀포시 > 성산,#음식 #해물뚝배기 #제주갈치조림 #제주갈치구이 #물회 #성게미역국 #고등어구이 #오분작뚝배기 #성게전복미역국 #갈치조림 #갈치구이 #해물전골 #뚝배기 #한치물회 #전복물회,4,0,9,2
섭지해녀의집,서귀포시 > 성산,#전복회 #해삼 #음식 #전복 #회 #한치회 #소라 #칼국수 #한치 #모둠회 #소라회 #소라숙회 #문어 #문어숙회 #죽 #성게미역국 #성게물회 #전복성게물회 #해물칼국수 #해물라면 #라면 #해삼회,4,0,33,2
섭지향,서귀포시 > 표선,#음식 #참치 #참치회 #참다랑어 #메로구이,4,0,9,2
성산 호랑호랑,서귀포시 > 성산,#디저트 #카페 #성산일출봉카페 #음식 #아메리카노 #카페라떼 #카푸치노 #바닐라라떼 #카라멜마끼아또 #딸기라떼 #녹차라떼 #초코라떼 #홍차라떼 #라떼 #차 #청귤차 #레몬생강차 #쌍화차 #홍차 #허브티 #페퍼민트 #캐모마일 #레몬그라스 #에이드 #블루베리레몬에이드 #자몽에이드 #아이스티 #복숭아아이스티 #생과일주스 #스무디 #프라페 #아이스크림 #녹차아이스크림 #바닐라아이스크림 #초코아이스크림 #딸기스무디 #망고스무디 #블루베리스무디 #칵테일 #눈꽃빙수 #망고빙수 #요거트,5,0,0,2
성산흑돼지두루치기,서귀포시 > 성산,#향토음식 #음식 #흑돼지 #흑돼지구이 #흑돼지두루치기 #전복,4,2,24,2
쇠소깍오메기식당,서귀포시 > 서귀포시내,#뚝배기 #음식 #생선구이정식 #생선조림 #갈치 #갈치구이 #제주갈치구이 #고등어구이 #오분작뚝배기 #해물뚝배기 #고등어조림 #전복뚝배기 #전복돌솥밥 #성게돌솥밥 #돌솥밥 #보말죽 #전복죽 #알밥,5,0,9,2
수복강녕,제주시 > 제주시내,#음식 #정식 #2022고메페스타 #한정식 #돼지수제떡갈비 #한우떡갈비 #한우수제떡갈비 #떡갈비정식,4,0,6,2
순덕이네해산물장터,서귀포시 > 성산,#돌문어볶음 #음식 #문어볶음 #돌문어 #전 #부침개 #죽 #갈치조림 #고등어조림 #묵은지고등어조림 #옥돔구이 #성게전복미역국 #전복해물뚝배기 #뚝배기 #해물뚝배기,4,1,7,2
순천미향,서귀포시 > 안덕,#음식 #전복버터구이 #제주갈치조림 #전복뚝배기 #삼합 #갈치구이 #고등어구이 #전복구이 #전복해물뚝배기 #뚝배기 #성게미역국,4,0,11,2
신산리마을카페,서귀포시 > 성산,#초콜릿 #음식 #아메리카노 #카페라떼 #청귤차 #녹차라떼 #레몬차 #레몬에이드 #복숭아아이스티 #아포가토 #홍차 #카모마일 #페퍼민트 #라떼 #차 #에이드 #아이스티 #바닐라라떼 #카페모카 #카라멜마끼아또 #카푸치노 #초코라떼 #스무디 #딸기스무디 #블루베리스무디 #망고스무디 #바닐라아이스크림 #녹차아이스크림 #케이크 #치즈케이크 #초코케이크 #와플 #아이스크림와플,5,3,15,2
애월 빵공장,제주시 > 애월,#카페 #베이커리 #아메리카노 #카페라떼 #카푸치노 #바닐라라떼 # 오션뷰 # 애월샌드 # 디저트 # 선물소품,5,0,14,2
야야카페,제주시 > 조천,#아메리카노 #카페라떼 #에이드 #아이스크림 #에스프레소 #바닐라라떼 #아포가토 #딸기라떼 #라떼 #차 #얼그레이 #캐모마일 #루이보스 #유자차 #자몽차 #레몬에이드 #자몽에이드 #스무디 #딸기스무디 #블루베리스무디 #망고스무디 #주스 #토마토주스 #술 #와인 #칵테일 #산미구엘 #모히또 #크로아상 #샐러드 #샌드위치 #파니니,4,0,6,2
어멍,제주시 > 조천,#성게미역국 #음식 #흑돼지 #오겹살 #흑돼지오겹살 #목살 #가브리살 #소시지 #야채구이 #버섯구이 #전복 #새우 #갑오징어 #흑돼지김치찌개 #된장찌개 #냉면 #비빔냉면 #물냉면 #회냉면,4,0,9,2
어반르토아,제주시 > 제주시내,#음식 #아메리카노 #샌드위치 #쿠키 #프레즐 #코코넛라떼 #비엔나커피 #카라멜라떼 #카페라떼 #카푸치노 #바닐라라떼 #콜드브루 #딸기주스 #망고스무디 #레몬생강차 #레몬에이드 #초코라떼 #레몬차 #그린티라떼 #자몽차 #자몽에이드 #콤부차 #에이드 #차 #스무디 #깍두기볶음밥 #프렌치토스트 #토스트 #크림파스타 #파스타 #햄치즈토스트 #빵 #브리오슈 #에그타르트 #케이크 #치즈케이크,4,0,4,2
예지원,서귀포시 > 서귀포시내,#옥돔구이 #성게미역국 #음식 #갈치조림 #갈치구이 #해물탕 #전복죽 #무장애관광,5,1,18,2
옛날동문시장칼국수,제주시 > 제주시내,#전통시장 #쇼핑 #상점/상가 #우동 #김밥 #콩국수 #냉면,4,1,63,2
올래회어촌,제주시 > 제주시내,#횟집 #해산물 #광어회 #회,4,0,9,2
올랭이와물꾸럭,서귀포시 > 대정,#감귤김치 #음식 #방어 #문어 #문어숙회 #문어덮밥 #문어삼합,4,0,5,2
우도몬딱,섬 속의 섬 > 우도,#음료 #음식 #츄러스 #아이스크림 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼 #핫초코 #주스 #에이드 #차 #아이스티 #복숭아아이스티,5,0,3,2
우도아름다운소풍,섬 속의 섬 > 우도,#전복스테이크 #음식 #짜장면 #짬뽕 #뿔소라 #볶음밥 #탕수육,5,0,9,2
월정리갈비밥,제주시 > 구좌,#음식 #레몬에이드 #갈비 #양념갈비 #2022고메페스타 #덮밥 #갈비구이 #물냉면 #비빔냉면 #멘보샤 #에이드,4,0,26,2
유리네,제주시 > 제주시내,#갈치국 #몸국 #음식 #제주갈치구이 #성게미역국 #물회 #2022고메페스타,5,2,36,2
이드레국수,서귀포시 > 중문,#전복회국수 #돔베고기 #음식 #비빔국수 #코다리회막국수 #국수 #보말칼국수 #칼국수 #전복구이 #만두,5,0,34,2
이어도식당,서귀포시 > 표선,#성게국수 #한식 #음식 #무장애관광,5,5,31,2
일도 국수,제주시 > 제주시내,#음식 #향토음식 #비빔국수,5,0,6,2
잠녀해녀촌,제주시 > 조천,#성게보말죽 #물회 #음식 #회 #갈치회 #고등어회 #한치물회 #한치회 #전복물회 #갈치구이 #제주갈치구이 #고등어구이 #생선조림 #갈치조림 #제주갈치조림 #한치 #보말죽 #전복죽 #성게미역국 #몸국 #소라물회 #자리물회 #해산물모둠 #문어숙회 #소라회,3,0,46,2
제스토리,서귀포시 > 서귀포시내,#제스라떼 #카페 #음식 #케이크,5,0,23,2
제주오성,서귀포시 > 중문,#뚝배기 #음식 #회 #물회 #생선구이정식 #매운탕 #갈치 #갈치구이 #갈치조림 #제주갈치조림 #제주갈치구이 #고등어구이 #고등어조림 #2022고메페스타 #우수관광사업체 #정식 #묵은지고등어조림 #성게미역국 #옥돔구이 #전복구이 #감자튀김,4,0,27,2
제주올레횟집,서귀포시 > 서귀포시내,#횟집 #매운탕 #음식 #회 #향토음식 #다금바리,5,1,29,2
제주토속,제주시 > 제주시내,#향토음식 #음식,3,1,34,2
제주한면가,제주시 > 제주시내,#음식 #2022고메페스타 #흑돼지 #돔베고기 #비빔국수 #국수,5,3,38,2
중문어촌계해녀의집,서귀포시 > 중문,#전복 #소라 #음식 #회 #해산물모둠 #전복회 #소라회 #멍게 #해삼 #해삼회,4,1,42,2
짱아저씨,서귀포시 > 성산,#음식 #흑돼지 #두루치기 #해물찜 #전복뚝배기 #고등어구이 #옥돔구이 #돈까스 #전복해물탕 #전복회 #샐러드 #흑돼지두루치기 #갈치조림 #삼겹살 #오리주물럭 #해물뚝배기 #칼국수 #성게미역국,5,0,7,2
착한마녀김밥,서귀포시 > 성산,#떡볶이 #분식 #음식 #돈까스 #더블치즈김밥 #참치김밥 #김밥 #어묵탕 #즉석떡볶이 #치즈떡볶이 #돈까스김밥 #떡갈비김밥 #새우튀김김밥 #멸치김밥 #김치김밥 #스팸김밥 #소고기김밥 #치즈김밥 #라면 #해물라면 #만두라면 #치즈라면 #김치복음밥 #쫄면 #오뎅탕 #양푼비빔밥,2,0,4,2
천리식당,제주시 > 구좌,#음식 #제주갈치조림 #옥돔 #옥돔구이 #갈치구이 #제주갈치구이 #돌솥밥 #전 #죽 #부침개 #제육볶음,5,1,17,2
청운식당,서귀포시 > 성산,#해물뚝개비 #고등어회 #횟집 #음식 #성게미역국 #갈치조림 #제주갈치조림 #전복죽 #회 #해삼회 #낙지 #산낙지 #문어숙회 #해산물 #다금바리회 #황돔회 #광어회 #갈치회 #갈치 #전복 #생선구이 #갈치구이 #고등어구이 #전복구이 #뚝배기 #오분작뚝배기 #전복뚝배기 #돌솥밥 #영양돌솥밥 #성게전복미역국 #회덮밥 #고등어조림 #해물전골 #돔베고기,5,0,7,2
촌촌해녀촌,제주시 > 구좌,#회국수 #음식 #물회 #회 #갈치회 #고등어회 #한치물회 #한치회 #전복물회 #한치 #국수 #매운탕 #자리물회 #회덮밥 #오징어덮밥 #고등어구이 #고등어조림 #모듬물회 #갈치조림 #갈치구이,5,1,11,2
카페 깡,제주시 > 구좌,#흑돼지피자 #한치피자 #음식 #한치 #에스프레소 #아포가토 #아메리카노 #카페라떼 #카푸치노 #카라멜마끼아또 #카페모카 #바닐라라떼 #에이드 #레몬에이드 #자몽에이드 #차 #아이스티 #복숭아아이스티 #캐모마일 #페퍼민트 #녹차라떼 #자몽차 #핫초코 #청귤차 #라떼 #매실차,5,0,1,2
카페리(CAFERI),제주시 > 구좌,#죠리퐁라떼 #음식 #밀크티 #디저트 #아메리카노 #2022고메페스타 #에스프레소 #카페라떼 #바닐라빈라떼 #연유라떼 #라떼 #아인슈페너 #아이스티 #주스 #에이드 #차 #딸기라떼 #케이크 #티라미수,5,2,10,2
카페앤드효은양갱,서귀포시 > 안덕,#한라봉양갱 #꽃차 #음식 #양갱 #수제양갱,5,1,5,2
카페희상,서귀포시 > 표선,#아이스크림 #음식 #티라미수 #아메리카노 #차 #브런치 #반려동물 #반려동물동반입장 #반려동물동반_식당카페 #에스프레소 #에스프레소마키아또 #에스프레소더블 #카푸치노 #카페모카 #카페라떼 #바닐라라떼 #연유라떼 #초코라떼 #라떼 #캐모마일 #홍차 #청귤차 #유자차 #장미차 #꿀차 #케이크 #크로아상 #팥빙수 #샌드위치 #크로와상샌드위치,5,0,16,2
크리메이트,제주시 > 제주시내,#당근케이크 #음식 #생크림케익 #빵 #수제마카롱 #수제초콜릿 #아메리카노 #카페라떼 #카페모카 #바닐라빈라떼 #카라멜라떼 #초코라떼 #말차라떼 #라떼 #쉐이크 #녹차쉐이크,5,0,9,2
타이웍,제주시 > 제주시내,#음식 #소고기쌀국수 #푸팟퐁커리 #볶음밥 #똠얌꿍 #샐러드 #치킨샐러드 #과일샐러드 #만두 #새우고로케 #치킨카레 #카레 #카레라이스 #새우볶음밥 #게살볶음밥 #베트남쌀국수 #냉면,5,1,11,2
타코마씸,제주시 > 구좌,#멕시칸 #음식 #에이드 #핫도그 #감자튀김 #칵테일 #또띠아 #주스 #술 #생맥주 #위스키 #오렌지주스,3,0,9,2
탑동산호전복,제주시 > 제주시내,#음식 #회 #전복 #전복죽 #전복돌솥밥 #전복뚝배기 #성게국 #2022고메페스타,5,0,35,2
탕궁훠궈,제주시 > 제주시내,#음식 #마라탕 #간천엽 #새우완자 #차돌박이 #새우 #갈비살 #목살 #부채살 #우삼겹 #양고기 #술 #중국술 #고량주 #연태고량주,5,4,10,2
태광식당,제주시 > 제주시내,#꼼장어주물럭 #음식 #한치물회 #소라물회 #꼼장어구이 #꼼장어 #한치 #2022고메페스타 #물회 #자리물회 #옥돔구이 #된장뚝배기 #해삼물회 #주물럭 #불고기 #전복구이,5,1,11,2
포도원흑돼지,제주시 > 제주시내,#해물된장찌개 #음식 #흑돼지구이 #오겹살 #목살 #가브리살 #갈비탕 #김치찌개 #된장찌개,5,1,15,2
포도호텔레스토랑,서귀포시 > 안덕,#호텔레스토랑 #음식 #호텔 #새우튀김 #정식 #일식 #무장애관광 #물회 #딱새우 #냉우동 #새우튀김우동 #왕새우튀김우동 #튀김우동 #스끼야끼우동정식 #소고기우동 #짬뽕우동 #왕새우튀김 #생선조림정식 #불고기정식 #젓갈정식 #비빔밥 #성게비빔밥 #된장찌개 #한우된장찌개 #전복된장찌개 #새우장비빔밥 #함박스테이크정식 #돈가스정식 #스테이크 #등심스테이크 #한우 #회 #참치회 #돔베고기 #샐러드 #과일주스 #주스 #떡 #아이스크림 #찹쌀떡 #차 #홍삼차 #오미자차 #유자차 #매실차 #녹차 #잉글리쉬브렉퍼스트 #카모마일 #카페라떼 #카푸치노 #아메리카노 #에스프레소 #얼그레이 #술 #생맥주 #화랑(찹쌀로만든술) #와인 #레드와인 #화이트와인 #스파클링 #샴페인,3,0,13,2
피제리아3657,서귀포시 > 안덕,#음식 #마르게리따 #레몬에이드 #아메리카노 #카페라떼,4,2,17,2
