tour_sleep,tour_sleep_theme,tour_sleep_tag,tour_sleep_score,like,zzim,review
마니주팬션,제주시 > 제주시내,#자연경관 #바비큐 #공공와이파이존 #해수욕장 #해안도로 #해변 #가족,4,0,2,1
몽마르뜨펜션,제주시 > 애월,#해변 #산책로 #해안도로 #바비큐 #무장애관광,5,0,2,1
물고기나무게스트하우스,서귀포시 > 성산,#체험 #바비큐 #공공와이파이존 #단체여행객 #해수욕장 #해변 #수상레저 #농어촌민박,5,0,1,1
미라클게스트하우스,제주시 > 제주시내,#자연경관 #바비큐 #조식 포함 #자전거대여점 #매점,3,0,2,1
미소게스트하우스,제주시 > 제주시내,#공항 #노래방 #공공와이파이존 #단체여행객 #제주동문시장 #농어촌민박,5,1,5,1
발리인제주,제주시 > 구좌,#스파 #독채 #해수욕장 #해변 #공공와이파이존 #수상레저 #갯벌체험학습장,5,1,6,1
밭담사이,제주시 > 구좌,#숙소 #힐링 #편백나무펜션 #고향민박,4,3,4,1
베이힐 풀앤빌라,서귀포시 > 서귀포시내,#주차장 #공공와이파이존 #무장애여행 #편의시설 #풀빌라 #럭셔리트래블인제주 #무장애관광,5,1,8,1
보리게스트하우스,제주시 > 구좌,#공공와이파이존 #조식 포함 #독채 #체험 #무장애관광,5,0,4,1
봄 그리고 가을리조트,서귀포시 > 성산,#휴양콘도 #주차장 #공공와이파이존 #어린이놀이방 #무장애여행 #편의시설 #자연경관 #해안도로 #가족호텔 #무장애관광,3,2,25,1
북마크하우스&카페,서귀포시 > 대정,#조식 #공공와이파이존 #민박 #농어촌민박,5,0,1,1
북촌플레이스,제주시 > 조천,#휴양펜션 #바비큐 #힐링쉼터,5,0,2,1
브라운 스위트 제주 호텔 & 리조트,서귀포시 > 성산,#공공와이파이존 #주차장 #자연경관 #비즈니스센터 #무장애관광,1,0,10,1
브릭216,서귀포시 > 서귀포시내,#휴양펜션 #자연경관 #온돌방 #공공와이파이존 #오션뷰호텔 #서귀포,3,0,1,1
블란디야,서귀포시 > 서귀포시내,#올레길 #수상레저 #바비큐 #반려동물보호소 #교통 #반려동물동반입장 #반려동물 #반려동물동반_숙소,3,0,2,1
블랙스톤리조트,제주시 > 한림,#휴양콘도 #호텔 #주차장 #조식 #산책로 #관광호텔 #무장애관광,5,0,3,1
비비엔다,제주시 > 구좌,#단체여행객 #카페 #조식 #민박 #고향민박,3,0,2,1
빌림,제주시 > 제주시내,#주차장 #공공와이파이존 #휴양펜션 #주방기구 #공항,5,2,11,1
산토리니 펜션,제주시 > 애월,#자연경관 #바비큐 #주차장 #힐링쉼터,5,0,1,1
샤모니리조트,서귀포시 > 서귀포시내,#휴양콘도 #단체여행객 #주차장 #공공와이파이존 #매점 #가족,5,0,1,1
서귀포통나무집,서귀포시 > 서귀포시내,#휴양펜션 #바비큐 #독채 #단체여행객 #가족 #공공와이파이존 #체험 #수상레저 #온돌방 #교통,5,1,4,1
선샤인호텔,제주시 > 조천,#자연경관 #조식 #서귀포 #관광호텔 #무장애관광,5,0,4,1
섬타임즈,제주시 > 제주시내,#휴양펜션 #바비큐 #조식 포함 #가족 #해변 #안전인증민박,3,0,5,1
성산풀하우스,서귀포시 > 성산,#독채 #바비큐 #반려동물보호소 #공공와이파이존 #단체여행객 #해수욕장 #온돌방 #반려동물동반입장 #반려동물 #무장애관광 #반려동물동반_숙소,5,2,3,1
소낭게스트하우스,제주시 > 구좌,#체험 #해수욕장 #수상레저 #음식축제 #기념사진촬영,5,0,4,1
소라담하우스,제주시 > 조천,#공공와이파이존 #휴양펜션 #펜션 #자연경관 #바비큐 #독채 #온돌방 #해수욕장 #수상레저,5,1,0,1
소랑풀빌라,제주시 > 조천,#풀빌라 #공공와이파이존 #수영장 #주차장 #양식레스토랑 #정원,3,0,2,1
소랑호젠,서귀포시 > 남원,#공공와이파이존 #해변 #가족 #독채 #온돌방,5,0,2,1
소섬바당,섬 속의 섬 > 우도,#농어촌민박 #조식 포함 #교통 #공공와이파이존 #온돌방 #가족 #해수욕장,5,2,4,1
솔바람풍경소리펜션,서귀포시 > 남원,#정원 #주차장 #바비큐 #물품보관서비스 #민박,5,1,1,1
수앤수가족호텔,제주시 > 애월,#공공와이파이존 #양식레스토랑 #수영장 #장애인 주차 #주차장 #가족호텔 #리조트,5,0,6,1
쉴만한 물가,제주시 > 한림,#힐링 #휴양펜션 #펜션 #주차장 #독채 #단체여행객 #주방기구,3,0,0,1
스카이워커,제주시 > 제주시내,#제주동문시장 #공공와이파이존,4,0,0,1
슬로우리제주 민박,제주시 > 애월,#주차장 #공공와이파이존 #마을관광 #올레,5,0,2,1
신화관 제주신화월드 호텔 앤 리조트,서귀포시 > 안덕,#리조트 #공공와이파이존 #수영장 #주차장 #관광호텔 #안전여행스탬프 #제주신화월드 #럭셔리트래블인제주 #무장애관광,5,1,16,1
씨앤관광호텔,제주시 > 제주시내,#수상레저 #자연경관 #해변 #관광호텔 #무장애관광,5,2,2,1
씨엘블루호텔,제주시 > 제주시내,#주차장 #비즈니스센터 #엘리베이터 #공항 #무장애관광,5,0,6,1
씨오르리조트,서귀포시 > 서귀포시내,#아이 #사계절 #숙소 #리조트 #오션뷰호텔 #주차장 #힐링 #무장애관광,4,0,2,1
아올키즈펜션,서귀포시 > 안덕,#펜션 #독채 #풀빌라 #어린이놀이방 #수영장 #온돌방 #바비큐 #공공와이파이존 #해수욕장,3,0,2,1
아프리카게스트하우스,제주시 > 조천,#온돌방 #공공와이파이존 #고향민박,3,0,2,1
알랑가게스트하우스,서귀포시 > 안덕,#자연경관 #힐링쉼터 #힐링,4,1,1,1
애월포구풍경,제주시 > 애월,#바비큐 #낚시 #해안도로 #산책로,5,0,1,1
야크마을,서귀포시 > 서귀포시내,#수영장 #체험 #레저/체험 #음식 #식당 #한식 #카페 #가족호텔 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_숙소,5,2,2,1
언덕위에 빨간지붕,서귀포시 > 성산,#체험 #휴양펜션 #펜션 #안전인증민박,5,1,7,1
엠버퓨어힐호텔&리조트,제주시 > 제주시내,#반려동물동반_숙소,5,0,0,1
여울목게스트하우스(월정리),제주시 > 구좌,#민박 #돌담풍경마을 #농어촌민박 #해변 #해안도로 #돌집 #한옥 #독채 #단체여행객 #바비큐,3,0,2,1
예촌민박,서귀포시 > 남원,#고향민박 #자연경관 #자연학습장 #힐링 #반려동물동반_숙소 #반려동물동반입장 #반려동물,5,0,2,1
오름게스트하우스,제주시 > 구좌,#세화 #조식 포함 #공공와이파이존 #교통 #바비큐 #온돌방 #단체여행객 #해수욕장 #독채 #체험 #안전인증민박,5,0,2,1
올레리조트,제주시 > 애월,#호텔 #가족호텔 #안전여행스탬프,5,0,1,1
외돌개나라,서귀포시 > 서귀포시내,#주차장 #공공와이파이존 #바비큐 #게스트하우스,5,1,1,1
용두암빌리지,제주시 > 제주시내,#휴양펜션 #교통 #물품보관서비스 #공공와이파이존 #해수욕장 #온돌방 #가족,5,0,1,1
우도피아,섬 속의 섬 > 우도,#휴양펜션 #독채 #바비큐 #단체여행객 #가족 #공공와이파이존,5,3,7,1
우리희망이 게스트하우스,제주시 > 조천,#해수욕장 #온돌방 #단체여행객 #공공와이파이존 #안전인증민박,5,6,7,1
위더스펜션,제주시 > 애월,#돌담길 #단체여행객 #바비큐 #온돌방 #가족 #수영장 #공공와이파이존 #해수욕장 #해변,5,0,2,1
위미모루왓,서귀포시 > 남원,#공공와이파이존 #힐링쉼터 #농어촌민박 #안전인증민박,5,2,3,1
유앤아이게스트하우스,제주시 > 제주시내,#조식 #교통,2,0,0,1
제니빌펜션,서귀포시 > 남원,#펜션 #바비큐 #가족 #해변 #공공와이파이존 #해안도로 #올레,3,0,3,1
제이드림호텔(jdream hotel),제주시 > 제주시내,#주차장 #힐링쉼터 #온돌방 #부대시설 #양식레스토랑 #관광호텔,5,2,2,1
제주 오션팰리스 호텔,서귀포시 > 서귀포시내,#양식레스토랑 #카페 #식당 #자연경관 #해변 #가족호텔 #무장애관광,3,0,11,1
제주 제이제이 게스트하우스,서귀포시 > 중문,#조식 #주차장 #물품보관서비스,5,0,4,1
제주도 레인보우,제주시 > 구좌,#휴식 #구좌 #펜션 #휴양펜션 #공공와이파이존 #바비큐 #해수욕장 #온돌방 #가족,5,0,0,1
제주로얄호텔,제주시 > 제주시내,#환전 #호텔 #숙소 #관광호텔,3,0,0,1
제주베스트힐 펜션&글램핑,제주시 > 조천,#휴양펜션 #펜션 #독채 #한옥 #온돌방 #바비큐 #수영장 #체험 #공공와이파이존 #언택트,4,2,4,1
제주시드니호텔,제주시 > 애월,#펜션 #단체여행객 #주차장 #발렛파킹 #공공와이파이존 #자연경관 #오션뷰호텔 #착한가격업소,4,0,6,1
